PostUserId,RespondUserId,QId,Time,days
8.0,14.0,1,2014-11-18 21:19:40.677,0
8.0,27.0,1,2014-11-18 21:54:30.927,0
8.0,25.0,1,2014-11-18 22:12:11.207,0
25.0,8.0,1,2014-11-18 22:16:00.627,0
8.0,25.0,1,2014-11-18 22:25:03.910,0
8.0,56.0,1,2014-11-18 22:27:05.997,0
8.0,43.0,1,2014-11-18 22:36:04.133,0
8.0,40.0,1,2014-11-21 03:26:50.267,2
24.0,24.0,6,2014-11-18 21:27:13.627,0
24.0,29.0,6,2014-11-18 21:31:54.870,0
29.0,24.0,6,2014-11-18 21:33:01.893,0
24.0,29.0,6,2014-11-18 22:16:46.343,0
24.0,13.0,6,2014-11-18 22:30:29.297,0
13.0,24.0,6,2014-11-18 22:37:38.467,0
24.0,29.0,6,2014-11-18 23:13:26.543,0
29.0,82.0,6,2014-11-19 02:21:26.617,0
24.0,81.0,6,2014-11-19 09:13:30.783,0
81.0,44.0,6,2014-11-19 14:02:47.390,0
14.0,28.0,9,2014-11-18 22:13:43.827,0
14.0,29.0,9,2014-11-18 23:09:28.360,0
14.0,68.0,9,2014-11-18 23:23:53.030,0
29.0,14.0,9,2014-11-18 23:52:42.807,0
14.0,29.0,9,2014-11-19 00:30:59.550,0
28.0,60.0,17,2014-11-18 22:41:48.640,0
60.0,28.0,17,2014-11-18 22:46:20.843,0
28.0,60.0,17,2014-11-18 22:57:04.053,0
28.0,60.0,17,2014-11-18 22:58:46.863,0
28.0,28.0,17,2014-11-18 23:00:33.783,0
28.0,44.0,17,2014-11-19 13:59:15.877,0
28.0,43.0,17,2014-11-19 15:01:09.670,0
43.0,28.0,17,2014-11-20 22:34:50.307,2
28.0,43.0,17,2014-11-20 23:22:08.790,2
43.0,28.0,17,2014-11-20 23:52:16.117,2
69.0,54.0,31,2014-11-19 00:49:05.030,0
69.0,59.0,31,2014-11-19 00:52:52.020,0
69.0,54.0,31,2014-11-19 02:50:41.630,0
59.0,108.0,31,2014-11-19 10:41:24.903,0
31.0,87.0,8,2014-11-19 02:10:04.690,0
31.0,31.0,8,2014-11-19 02:16:19.340,0
31.0,59.0,8,2014-11-19 21:40:44.603,1
31.0,86.0,20,2014-11-19 02:17:28.800,0
31.0,31.0,20,2014-11-19 02:17:52.470,0
39.0,82.0,11,2014-11-19 02:18:02.657,0
70.0,28.0,42,2014-11-19 04:03:30.040,0
70.0,40.0,46,2014-11-19 04:25:04.250,0
89.0,14.0,48,2014-11-19 04:55:39.933,0
14.0,38.0,48,2014-11-19 05:46:58.703,0
89.0,9.0,48,2014-11-19 10:30:13.270,0
89.0,126.0,48,2014-11-19 14:04:41.347,0
89.0,17.0,48,2014-11-20 16:20:43.007,1
89.0,81.0,48,2014-11-21 02:30:16.707,2
89.0,126.0,48,2014-11-22 23:59:47.277,4
89.0,,48,2014-11-23 13:03:19.640,4
89.0,213.0,48,2014-11-26 21:38:27.030,8
89.0,108.0,48,2014-11-28 19:49:55.033,9
31.0,14.0,53,2014-11-19 05:12:00.347,0
31.0,31.0,53,2014-11-19 05:18:26.583,0
31.0,31.0,53,2014-11-19 05:19:37.810,0
31.0,31.0,53,2014-11-19 05:22:41.667,0
85.0,70.0,61,2014-11-19 08:50:39.540,0
