PostUserId,RespondUserId,QId,Time,days
30.0,9.0,5,2011-08-09 19:36:59.050,0
30.0,30.0,5,2011-08-09 19:42:32.610,0
30.0,30.0,5,2011-08-10 16:01:02.133,0
30.0,60.0,5,2011-08-10 18:37:26.463,0
30.0,241.0,5,2011-09-13 12:26:25.437,34
12.0,39.0,3,2011-08-09 19:45:06.397,0
12.0,41.0,3,2011-08-09 19:40:32.560,0
12.0,10.0,3,2011-08-09 20:24:42.163,0
27.0,9.0,11,2011-08-09 19:45:47.137,0
27.0,27.0,11,2011-08-09 19:46:43.057,0
27.0,9.0,11,2011-08-09 19:49:20.297,0
27.0,38.0,11,2011-08-09 21:16:08.257,0
27.0,25.0,11,2011-08-09 21:34:31.363,0
27.0,38.0,11,2011-08-09 21:42:48.410,0
25.0,15.0,11,2011-08-09 22:21:09.500,0
27.0,25.0,11,2011-08-09 23:04:05.783,0
7.0,30.0,42,2011-08-09 20:57:31.350,0
7.0,7.0,42,2011-08-09 21:02:15.957,0
7.0,30.0,42,2011-08-09 21:05:52.897,0
7.0,7.0,42,2011-08-09 21:11:37.180,0
7.0,10.0,42,2011-08-11 16:14:42.057,1
60.0,30.0,38,2011-08-09 21:10:49.533,0
60.0,60.0,38,2011-08-09 21:15:33.697,0
60.0,30.0,38,2011-08-09 21:22:36.973,0
60.0,60.0,38,2011-08-09 21:26:30.157,0
46.0,30.0,24,2011-08-09 21:11:47.583,0
46.0,32.0,24,2011-08-09 21:34:33.100,0
32.0,68.0,50,2011-08-09 21:40:58.910,0
32.0,77.0,50,2011-08-10 00:17:48.660,0
32.0,32.0,50,2011-08-10 01:08:34.723,0
32.0,394.0,50,2011-09-03 15:20:29.900,24
32.0,60.0,57,2011-08-09 21:52:15.337,0
60.0,6.0,57,2011-08-09 23:26:27.357,0
10.0,74.0,1,2011-08-09 22:52:07.020,0
10.0,10.0,1,2011-08-09 22:58:20.043,0
26.0,74.0,32,2011-08-09 23:49:02.497,0
22.0,12.0,9,2011-08-10 02:29:19.710,0
22.0,13.0,9,2011-08-10 03:27:40.337,0
12.0,22.0,9,2011-08-10 06:48:57.637,0
22.0,10.0,9,2011-08-11 18:38:46.323,1
22.0,13.0,9,2011-08-11 18:52:18.850,1
22.0,10.0,9,2011-08-11 18:55:45.473,1
74.0,25.0,82,2011-08-10 02:35:17.453,0
25.0,74.0,82,2011-08-10 04:03:48.727,0
74.0,25.0,82,2011-08-10 05:43:13.650,0
74.0,374.0,82,2011-08-31 01:45:21.070,21
74.0,74.0,82,2011-08-31 02:50:47.700,21
79.0,73.0,84,2011-08-10 03:15:03.083,0
