PostUserId,RespondUserId,QId,Time,days
9.0,131.0,1,2014-08-10T21:27:15.543,11
9.0,9.0,1,2014-08-11T00:49:22.327,11
16.0,7.0,6,2014-07-30T20:31:21.947,0
16.0,36.0,6,2014-07-30T21:07:45.640,0
16.0,71.0,6,2014-07-30T23:08:15.970,0
7.0,16.0,6,2014-07-31T11:35:02.090,0
36.0,66.0,13,2014-07-31T14:43:34.617,0
36.0,36.0,13,2014-07-31T15:17:13.477,0
36.0,71.0,14,2014-07-30T23:02:37.170,0
20.0,36.0,16,2014-07-30T21:21:34.280,0
20.0,20.0,16,2014-07-30T21:35:47.020,0
20.0,60.0,16,2014-07-30T22:36:29.933,0
20.0,20.0,16,2014-07-31T03:53:41.363,0
20.0,233.0,16,2014-08-18T06:26:28.493,18
55.0,59.0,24,2014-07-30T21:41:15.060,0
37.0,36.0,27,2014-07-30T22:15:44.127,0
36.0,37.0,27,2014-07-30T22:40:03.900,0
80.0,59.0,52,2014-07-31T01:15:14.160,0
82.0,43.0,58,2014-07-31T08:25:14.300,0
92.0,84.0,64,2014-07-31T10:59:18.367,0
92.0,44.0,64,2014-08-04T08:36:52.810,4
92.0,127.0,64,2015-01-01T00:30:34.613,154
104.0,144.0,70,2014-07-31T20:48:51.143,1
47.0,107.0,72,2014-07-31T07:42:45.047,0
47.0,113.0,72,2014-07-31T08:23:20.513,0
47.0,47.0,72,2014-07-31T08:26:50.607,0
47.0,131.0,72,2014-07-31T22:00:07.480,1
113.0,92.0,78,2014-07-31T13:26:50.757,0
117.0,131.0,82,2014-09-18T12:21:38.710,49
99.0,44.0,87,2014-08-01T16:11:11.633,1
99.0,99.0,87,2014-08-01T16:50:22.270,1
99.0,43.0,87,2014-08-04T06:39:43.070,4
121.0,131.0,91,2014-07-31T16:22:57.130,0
121.0,1111.0,91,2014-12-14T00:10:57.487,136
92.0,61.0,96,2014-07-31T12:59:23.060,0
61.0,92.0,96,2014-07-31T13:26:03.423,0
92.0,80.0,96,2014-07-31T15:41:46.887,0
52.0,31.0,99,2014-07-31T13:22:18.473,0
52.0,52.0,99,2014-07-31T13:51:08.247,0
52.0,121.0,99,2014-07-31T14:31:22.153,0
52.0,20.0,99,2014-07-31T14:50:31.427,0
52.0,52.0,99,2014-07-31T19:40:19.457,0
121.0,20.0,115,2014-07-31T14:51:55.833,0
132.0,80.0,126,2014-07-31T16:07:36.800,0
132.0,131.0,126,2014-07-31T16:18:34.617,0
43.0,131.0,141,2014-08-01T11:12:39.873,1
43.0,211.0,141,2014-08-04T19:11:07.200,4
92.0,43.0,152,2014-08-10T08:55:56.640,10
116.0,131.0,157,2014-08-01T10:40:03.497,1
160.0,9.0,165,2014-08-01T16:43:36.613,1
160.0,160.0,165,2014-08-01T20:46:26.117,2
160.0,9.0,165,2014-08-01T21:07:02.693,2
160.0,160.0,165,2014-08-01T21:13:06.767,2
160.0,9.0,165,2014-08-01T21:31:12.613,2
160.0,162.0,165,2014-08-04T16:15:18.700,4
162.0,160.0,165,2014-08-04T16:57:50.770,4
160.0,162.0,166,2014-08-01T17:41:13.713,1
160.0,160.0,166,2014-08-01T18:12:53.110,1
160.0,162.0,166,2014-08-01T18:42:16.917,1
52.0,43.0,182,2014-08-02T18:36:35.933,2
52.0,43.0,182,2014-08-05T17:49:45.467,5
43.0,9.0,184,2014-08-02T00:40:44.237,2
9.0,43.0,191,2014-08-05T17:45:52.760,5
9.0,9.0,191,2014-08-05T21:41:27.107,6
9.0,43.0,191,2014-08-05T21:43:58.033,6
186.0,131.0,195,2014-08-03T11:07:05.720,3
198.0,43.0,204,2014-08-03T21:35:56.283,4
43.0,198.0,204,2014-08-04T10:48:47.093,4
198.0,44.0,204,2014-08-04T13:51:06.540,4
198.0,44.0,204,2014-08-04T13:51:46.390,4
44.0,198.0,204,2014-08-05T09:47:00.660,5
198.0,88.0,205,2014-08-03T20:48:27.267,4
198.0,120.0,205,2014-08-04T08:28:50.713,4
88.0,198.0,205,2014-08-04T10:42:28.810,4
198.0,43.0,205,2014-08-05T17:44:27.957,5
198.0,59.0,206,2014-08-04T01:27:53.873,4
59.0,198.0,206,2014-08-04T10:35:01.800,4
198.0,59.0,206,2014-08-04T16:46:41.210,4
60.0,43.0,209,2014-08-03T23:27:53.090,4
60.0,60.0,209,2014-08-03T23:36:03.753,4
60.0,9.0,209,2014-08-04T00:10:26.637,4
9.0,60.0,209,2014-08-04T00:27:13.823,4
60.0,9.0,209,2014-08-04T00:29:45.347,4
44.0,43.0,215,2014-08-04T07:10:42.983,4
44.0,44.0,215,2014-08-04T07:15:28.563,4
200.0,43.0,216,2014-08-04T19:10:45.500,4
200.0,200.0,216,2014-08-05T07:38:58.310,5
200.0,43.0,216,2014-08-05T07:54:57.163,5
202.0,120.0,222,2014-08-04T13:49:51.867,4
44.0,131.0,227,2014-08-04T14:52:46.840,4
44.0,44.0,227,2014-08-04T14:56:25.300,4
44.0,44.0,227,2014-08-04T14:57:38.257,4
131.0,44.0,227,2014-08-04T14:57:57.943,4
44.0,131.0,227,2014-08-04T15:00:30.920,4
44.0,44.0,227,2014-08-04T15:01:22.660,4
44.0,131.0,227,2014-08-04T15:08:31.397,4
44.0,44.0,227,2014-08-04T15:10:26.317,4
44.0,321.0,227,2014-08-21T12:16:10.533,21
44.0,460.0,227,2014-09-10T18:36:05.313,41
217.0,43.0,233,2014-08-04T21:58:17.203,5
217.0,9.0,236,2014-08-04T23:36:54.497,5
217.0,1446.0,236,2014-11-13T01:27:48.963,105
217.0,131.0,237,2014-08-04T22:16:38.750,5
217.0,43.0,237,2014-08-04T22:30:21.430,5
160.0,217.0,241,2014-08-04T22:47:13.207,5
160.0,160.0,241,2014-08-04T22:53:52.427,5
160.0,88.0,241,2014-08-04T23:45:55.300,5
160.0,160.0,241,2014-08-05T01:05:31.560,5
160.0,9.0,241,2014-08-05T01:14:23.223,5
9.0,88.0,241,2014-08-05T02:18:39.210,5
88.0,160.0,241,2014-08-05T02:40:44.683,5
160.0,88.0,241,2014-08-05T12:11:19.390,5
160.0,4.0,241,2014-08-18T22:32:12.177,19
60.0,120.0,246,2014-08-05T15:22:54.700,5
120.0,60.0,246,2014-08-05T16:05:18.723,5
44.0,43.0,257,2014-08-06T07:41:40.103,6
224.0,131.0,259,2014-08-07T05:53:39.860,7
224.0,44.0,259,2014-08-07T06:41:43.110,7
144.0,233.0,260,2014-08-08T08:21:30.590,8
144.0,132.0,260,2014-08-12T21:06:27.480,13
132.0,1298.0,260,2014-10-31T23:51:11.577,93
132.0,1302.0,260,2014-11-01T06:07:16.533,93
1298.0,132.0,260,2014-11-02T04:01:31.773,94
144.0,132.0,260,2014-11-02T04:04:59.670,94
242.0,115.0,267,2014-08-07T11:44:02.797,7
115.0,242.0,267,2014-08-07T12:08:40.213,7
242.0,43.0,267,2014-08-07T16:16:20.583,7
200.0,131.0,285,2014-08-09T09:49:05.100,9
200.0,200.0,285,2014-08-09T10:09:45.800,9
200.0,131.0,285,2014-08-09T12:05:42.517,9
200.0,200.0,285,2014-08-11T06:18:58.460,11
266.0,233.0,290,2014-08-10T14:39:20.267,10
266.0,266.0,290,2014-08-12T20:57:56.880,13
59.0,59.0,291,2014-08-10T09:37:10.493,10
59.0,59.0,291,2014-08-10T09:37:51.947,10
59.0,131.0,291,2014-08-10T11:39:32.213,10
131.0,233.0,291,2014-08-11T09:00:05.790,11
59.0,233.0,291,2014-08-11T09:04:26.210,11
59.0,9.0,292,2014-08-10T14:14:25.973,10
9.0,59.0,292,2014-08-10T19:33:12.973,10
59.0,9.0,292,2014-08-10T19:37:31.373,10
59.0,131.0,292,2014-08-10T19:41:06.930,10
9.0,59.0,292,2014-08-10T20:10:49.703,11
131.0,59.0,292,2014-08-10T20:11:41.397,11
233.0,59.0,306,2014-08-11T10:23:18.093,11
233.0,43.0,306,2014-08-11T19:46:56.383,12
43.0,233.0,306,2014-08-12T08:29:07.997,12
286.0,43.0,310,2014-08-12T07:57:00.700,12
286.0,286.0,310,2014-08-12T14:13:12.167,12
286.0,43.0,310,2014-08-12T21:26:25.400,13
43.0,59.0,314,2014-08-13T01:41:41.940,13
43.0,131.0,314,2014-08-13T16:47:37.620,13
43.0,119.0,314,2014-08-18T11:05:36.963,18
285.0,116.0,329,2014-08-14T20:21:12.460,15
285.0,116.0,329,2014-08-14T20:34:12.540,15
